OBJECTID,pointid,grid_code,POINT_X,POINT_Y
690,690,155,-84.76066103,31.19281138
691,691,155,-84.7606355,31.19281138
692,692,155,-84.76060997,31.19281138
693,693,155,-84.76058444,31.19281138
694,694,155,-84.76055891,31.19281138
695,695,155,-84.76053337,31.19281138
696,696,155,-84.76050784,31.19281138
697,697,155,-84.76048231,31.19281138
698,698,155,-84.76045678,31.19281138
699,699,155,-84.76043125,31.19281138
700,700,155,-84.76040572,31.19281138
701,701,155,-84.76038018,31.19281138
702,702,155,-84.76035465,31.19281138
703,703,155,-84.76032912,31.19281138
704,704,155,-84.76030359,31.19281138
705,705,155,-84.76027806,31.19281138
706,706,155,-84.76025253,31.19281138
707,707,155,-84.760227,31.19281138
708,708,155,-84.76020146,31.19281138
709,709,155,-84.76017593,31.19281138
710,710,155,-84.7601504,31.19281138
711,711,155,-84.76012487,31.19281138
712,712,155,-84.76009934,31.19281138
713,713,155,-84.76007381,31.19281138
714,714,155,-84.76004827,31.19281138
715,715,155,-84.76002274,31.19281138
716,716,155,-84.75999721,31.19281138
717,717,154,-84.75997168,31.19281138
718,718,154,-84.75994615,31.19281138
719,719,154,-84.75992062,31.19281138
720,720,154,-84.75989508,31.19281138
721,721,154,-84.75986955,31.19281138
722,722,157,-84.76308654,31.19278585
723,723,157,-84.76306101,31.19278585
724,724,157,-84.76303548,31.19278585
725,725,157,-84.76300994,31.19278585
726,726,157,-84.76298441,31.19278585
727,727,157,-84.76295888,31.19278585
728,728,157,-84.76293335,31.19278585
729,729,157,-84.76290782,31.19278585
730,730,157,-84.76288229,31.19278585
731,731,157,-84.76285675,31.19278585
